Personality Traits,Tourism Category,Travel Motivation,Travelling Concerns,Location,Place ID,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Sky Deck KL Tower,ChIJ2bGhHitIzDERu5AcQE6tHhg,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Taman Negara National Park,ChIJj2n_9tCYyTERh0_RwmJa6ZA,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,SkyBar,ChIJtYUqqdM3zDERoeZmz29cmf0,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Kapas Island,ChIJF9NOrmLrtzERZGhS8wzg4Oo,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,ESCAPE Penang,ChIJdd8lXaTDSjARYLK8T3hGW-U,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Sport Fishing Asia | Kuala Rompin Sailfish Charter,ChIJKQnQTSmJzzERfSUWvuDubMc,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Jalan Alor Night Food Street,ChIJWV51lvU3zDERCyHo6Gi0cQo,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Banjaran Hotsprings Retreat,ChIJb3e2nqryyjER2Q6ex7ccnh4,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Batu Caves,ChIJBahJiQxHzDER-Z5vs7Lrv_I,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Awana SkyWay (SkyAvenue Station),ChIJuTy0qwEUzDER1RAoi-QyA-0,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Mossy Forest,ChIJo9L1sORYyjERRIwZ7lvUuEU,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Zouk Kuala Lumpur,ChIJ4TOwR9Y3zDERsbT3J3XygCY,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Langkawi Island,ChIJ841F8w95TDAREXHzdRCifyo,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Genting SkyWorlds Theme Park,ChIJdT5P3AAUzDERy1xSx2I8xB4,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Paya Indah Wetlands,ChIJJ3O0Eji4zTERCOvcseuVnnA,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Gaya Street Market,ChIJtTcGh49pOzIRbVb66G8asPs,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Datai Langkawi,ChIJWXZGfiJxTDAR84FmKVf47oI,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Deer Cave,ChIJUXdq5GT-GDIRkzRFVWuPMM8,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,SKYTREX Adventure Langkawi,ChIJz7O4JR13TDARjbbHcj4DLqw,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Gunung Mulu National Park,ChIJHZzYUbYDGTIRKZ8z74xqVcw,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,George Town Literary Festival,ChIJW2RydCzDSjARsveCaVAMCnI,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Mabul Island,ChIJVXb0PfNMFTIRVYLSM1s8wyk,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Aquaria KLCC,ChIJM5cxndM3zDER7WuP_cN-omg,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,SkyCasino,ChIJ67ktsREVzDERqyfhH8BKfOY,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Padang Matsirat Night Market - Sunday,ChIJ4Zf0Fyx4TDARjTODBqghtF0,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,Spa Village Pangkor Laut,ChIJu_GAVAfDSjAR_Xzxt3UoEVg,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Gua Tempurung,ChIJLXS42xT7yjERos4Leo07sKw,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Gopeng White Water Rafting - Adrenaline Ventures,ChIJ4UoBbwn7yjERUc0diGiG1TE,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Bako National Park Carpark and Boat Jetty,ChIJSd85kHSs-zERi0a0M8Ss-7Y,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,MATHAF Malaysia - Thailand Halal Food Festival,ChIJ28ob1w43zDER1et8x-twmOc,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Batu Ferringhi Beach,ChIJ7UncVgjoSjARkKYoZ2QZCCk,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Lost World of Tambun,ChIJ35wnylvtyjERLbv82zwlikA,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,National Stadium Bukit Jalil,ChIJRd6Qa5ZKzDERpnaQSpbCpDk,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Jonker Street Night Market,ChIJoRLcf9vx0TER1Pvh6N7VIco,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Chateau Spa & Wellness Resort,ChIJ6-HeNitIzDER6dHUj8EzUfA,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Barracuda Point,ChIJ____z_80FTIRKkvKVuF4pro,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Sunway Lagoon,ChIJJTHt3YhMzDERvM3wesdMZds,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Kilim River Tourism Jetty,ChIJcei-0Cx8TDARCoOp8m_G6do,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Pahlawan Walk Night Market,ChIJU6ujwubx0TERkO5yIO7sZaQ,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Pantai Tusan Bekenu,ChIJQ-sxjWZIHzIRbDZPBS_UM6s,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Langkawi Wildlife Park,ChIJ0YoGsnx-TDAR7EHhgtrtkLY,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Penn Endurance & Equestrian Club a.k.a Pahang International Endurance Park,ChIJNVJaQe2ayDERJR6oHxgBuXg,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Penang International Food Festival (PIFF),ChIJfa44pqbDSjARmQLnBv8AqLY,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,One&Only Desaru Coast,ChIJi0FYI0hL2jER_u936hhD6nY,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Lata Kinjang Falls,ChIJc3OtBfYByzERvIok_hMCAzo,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,ATV Adventure Park Kuala Lumpur,ChIJfxaAH7k5zDERpHKd-9cjJJw,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Fraser’s Hill (Bukit Fraser),ChIJR051gOT0yzER3Oa5Z6IlRd8,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Changkat Avenue,ChIJJY55Qyo2zDERNq-yid47cH4,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Tunku Abdul Rahman Marine Park,ChIJbTsNMTZCOzIR7u32rdFQQmo,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Borneo Sun Bear Conservation Centre (BSBCC),ChIJXdLunvLYODIRkkLYNdHQOF0,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Royal Langkawi Yacht Club,ChIJteNneOKBSzAR8OvZO2Z_MGE,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Gerbang Malam Ipoh,ChIJ_xS0mgXtyjERCmslq5PISZI,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,Spa Village Malacca,ChIJdfzrK9jx0TERg9JHJF_kXRA,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Fairy Caves,ChIJn38e5pdt-zER_lGRIiX5u9M,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Bungy Jump @ Sunway Lagoon,ChIJI6h7fIZMzDERH0fibNvbgZc,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Banding Island,ChIJvcnySq4AtTERkb0qU9e_yhY,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,JungleBird,ChIJubZVHQNJzDERI9fwsWXRq1s,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Pakej Pulau Semporna,ChIJQ8v2x47_PzIRRIMBYAoQgW0,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Crocodile Adventureland Langkawi,ChIJDx9pYYp7TDARxOAA7hlB5r8,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Water Rafting Kuala Kubu Bahru by PROJEK OUTDOOR,ChIJRcKUE7RzzDERU73eABODFzY,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,DurianBB Park,ChIJNxUAFy42zDERNOxLhR_XuzA,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,The Westin Langkawi Resort & Spa,ChIJf0JJETuGSzAR8jTD6JWZpsc,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Lata Berkoh,ChIJw5tFnjCZyTERA58wyV0WIuo,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Bukit Jugra Paragliding Park,ChIJlzIHUommzTERwYa1yPnhFws,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,"Gunung Ledang, Mount Ophir",ChIJ8zBT-jrY0TERyl55vDw7_yc,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,TREC Kuala Lumpur,ChIJ60rSYTo2zDERFnjGlXrU6ks,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Desaru Beach,ChIJ7SBnP15L2jERpcX8xmWrDeg,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Melaka Wonderland Theme Park & Resort,ChIJTea-Pg_l0TER38wU1pYkWSk,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Arena Larkin Indoor Stadium,ChIJ7ee-m2xt2jERcWc1Uxv_xXk,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Petaling Street Market,ChIJRVe3rdFJzDER_fqRQvv39qk,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,V Integrated,ChIJKYRqzR1xTDAR3v9SSeNL-OU,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Bagan Sungai Burong Blue Tear,ChIJiXYy3b1fyzERgBS4Pt_RW8Q,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Gua Damai Extreme Park,ChIJsRZfSQ1HzDER26CWooyIC4Y,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,"Tabin Wildlife Resort Lahad Datu, Sabah.",ChIJYaIwNbN6PzIRMk-eewMri0c,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,The Rabbit Hole,ChIJXyrddio2zDERP8WPwaXwvZ8,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Tioman Island,ChIJV3Z-NnIcxTERzaV2jGsWIC0,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Adventure Waterpark Desaru Coast,ChIJ_6p1GGhL2jERRGGRY1eS4mA,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,District 21,ChIJiyzaKwzKzTERHIMS7gjCga4,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Tek Sen Restaurant,ChIJcz51qZHDSjAR6hZjyFA1Sus,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,"Rebak Island Resort & Marina, Langkawi",ChIJm6lXBLGJSzARGrsf5ulHNP0,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,NYC Tour Sky Mirror Kuala Selangor,ChIJ_ZSYVVTzzDERnUG17uplud8,,
Extraversion,Adrenaline Activities,,Uniqueness & Exoticness,Flyboard Malaysia,ChIJsXVuoqS3zTEREU9m1ohIyiY,,
Extraversion,Wild Nature Activities,,Uniqueness & Exoticness,Bukit Tabur,ChIJfV15Hvw4zDERbMIvzVe1CjM,,
Extraversion,"Party, Music & Nightlife",,Uniqueness & Exoticness,Asgard Club @ Roof,ChIJd0Op7DhJzDERFHtirubtxrA,,
Extraversion,"Sun, Water & Sand",,Uniqueness & Exoticness,Perhentian Islands,ChIJQXftrAHBtjERetdOB749vII,,
Extraversion,Theme & Animal Parks,,Uniqueness & Exoticness,Euro Fun Park,ChIJ01oZPDtHzDERgnevfS7SYQM,,
Extraversion,Sports & Games,,Uniqueness & Exoticness,Rainforest World Music Festival,ChIJj1_ZMx7_-jERtptyUs7XvEU,,
Extraversion,Gastronomy Events,,Uniqueness & Exoticness,Tanjung Rhu Floating Restaurant & Fishfarm,ChIJ-2p5FJV8TDARsNsFR0AiO-s,,
Extraversion,Health & Well-being,,Uniqueness & Exoticness,Avani Sepang Goldcoast Resort,ChIJ-6dxOVWTzTERp9CI5_UqsY4,,
Extraversion,Natural Phenomena,,Uniqueness & Exoticness,Lembing Rainbow Waterfall,ChIJJQR2z_7cyDERzjW5HefQJ2A,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Mount Kinabalu,ChIJyySSXlaiOzIRXsCpwP7DgSI,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Rafflesia Information Centre,ChIJy0lebmZ-OzIRNqWM_6e7T9A,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,Istana Budaya,ChIJsRvr8B5IzDER7-59jlkq9ko,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,Islamic Arts Museum Malaysia,ChIJq6qqqslJzDERi7V1y0B-5Xw,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,Muzium Marin Labuan,ChIJWekTe8MYIzIRJZeS2f_ZRk8,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Sky Mirror - Kuala Selangor,ChIJj3XSGGjwzDER4SrFQw04fvk,,
Conscientiousness,Adrenaline Activities,,Familiarity,Myballoon Adventure,ChIJW18lQAxKzDERZuvZAU5gKcI,,
Conscientiousness,Wild Nature Activities,,Familiarity,Danum Valley Conservation Area,ChIJEQrZkddaPjIRG01vX67gP8Q,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,Simply Jazz by Tin Box,ChIJnUjqwG1JzDERtzs4gSn3TXo,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,Langkawi Mangrove Tour,ChIJoRj3PNN9TDARzptdrp0mGBQ,,
Conscientiousness,Sports & Games,,Familiarity,Stars Archery @ Sunway Pyramid,ChIJUxI_YYdMzDERs0x-YD4fByg,,
Conscientiousness,Natural Phenomena,,Familiarity,Sky Mirror Jetty Sasaran,ChIJ6ffw6dr3zDERXZau5Zt2zKk,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Langkawi Skybridge Cable Car,ChIJAd9TL-F2TDARfrojfQscVeI,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Kenyir Elephant Conservation Village,ChIJuSDMFjAztjEROT7MdsPqozk,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,Freedom Lawn Area KL.,ChIJ4V2d7nJJzDERRbg5VgLUYAk,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,Bank Negara Malaysia Museum and Art Gallery,ChIJnWvAPjFIzDERoFfk1RGfzqc,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,Museum of Traditional Games (Muzium Permainan Tradisional),ChIJl4kZdxjzzDER3qCcI4ec0Zs,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Maliau Basin Conservation Area,ChIJQ6En9vPBPTIRh-kc3bh8JGs,,
Conscientiousness,Adrenaline Activities,,Familiarity,SKYTREX Adventure Melaka,ChIJtSLYWgDl0TERGIF-BupFx2s,,
Conscientiousness,Wild Nature Activities,,Familiarity,Riverside Janda Baik,ChIJPxvtPG89zDER2t9x3f0fcGE,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,Jao Tim,ChIJJZbJ8NBJzDERb9JhvTrso80,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,Cruise Tasik Putrajaya,ChIJ2xqE4T22zTERWLus9fYLJwU,,
Conscientiousness,Sports & Games,,Familiarity,The Royal Selangor Golf Club,ChIJByCFeDY2zDERcQABICBdzz4,,
Conscientiousness,Natural Phenomena,,Familiarity,Kawa Star Jetty 卡瓦之星 (Kawa-Kawa River Cruise),ChIJMV0eIC1ZOjIR5vs6QJ83Als,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Mountain Kinabalu Via Ferrata (Lows Peak Circuit),ChIJtxLYxJqYOzIREqUs4QeatF8,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Bako National Park Customer Service Centre,ChIJd1pLHwCt-zERumQiNwJUksE,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,Dewan Filharmonik PETRONAS,ChIJiXsntdY3zDERc7ynCVTzecM,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,Penang Peranakan Mansion,ChIJCWvz3I_DSjAR5hveCXjdfIs,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,Equestrian Park Putrajaya,ChIJq6qqqpe3zTERfeZmLztrFBY,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Kelam Cave,ChIJkagyqDLrTDARg_FYNlTR3SM,,
Conscientiousness,Adrenaline Activities,,Familiarity,Berjaya Dive Center & Sea's Sports,ChIJa_TZJdobxTERwV5WiqcfgaY,,
Conscientiousness,Wild Nature Activities,,Familiarity,Taman Negara Johor Gunung Ledang (Lagenda),ChIJY0UmD2DX0TERxmOwaNtGUr0,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,Marini’s on 57,ChIJY0pAodY3zDERpLoOdZbQ0UM,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,Mari Mari Cultural Village,ChIJBz9ZrIhpOzIRG6BIRQ4WRDs,,
Conscientiousness,Sports & Games,,Familiarity,Kenyir Sport Fishing Recreation Center (KSRC),ChIJBTJqONIztjERwvJt9MPvcVA,,
Conscientiousness,Natural Phenomena,,Familiarity,Air Terjun Lata Berangin,ChIJQ6vkqu1ltjERSOahn_TMCt4,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Pulau Payar Marine Park,ChIJe9jMqX5_TDARRHCGeNqKMLA,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Tabin Wildlife Reserve,ChIJ2zBP9cedQDIRVV7I1WKA3BU,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,"Penang International Food Festival (PIFF), Taste of Penang (TOP)",ChIJfa44pqbDSjARmQLnBv8AqLY,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,Royal Selangor Visitor Centre,ChIJ380v_Rs4zDERg-ayesQ7RaY,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,Awana Genting Highlands Golf Course,ChIJKUUavTsUzDERoQOkSB0MMP4,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Madai Caves,ChIJKx1Dx3jBPzIRX1KKnefUTiM,,
Conscientiousness,Adrenaline Activities,,Familiarity,SnoWalk by i-City,ChIJdflQRONSzDERGjzEpdYig8I,,
Conscientiousness,Wild Nature Activities,,Familiarity,Langkawi Sky Glide,ChIJg_eQd893TDAR-OAfacybd3I,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,SIX by Saro,ChIJowFffiw2zDERgfbau7ZPfFA,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,River Cruise Crystal boat Terengganu,ChIJZyOmu_K_tzERuHXx-NWDv-E,,
Conscientiousness,Sports & Games,,Familiarity,Putrajaya Lake,ChIJPyRf2xO2zTERa_xB1-mJuL4,,
Conscientiousness,Natural Phenomena,,Familiarity,Tawau Hill Park (Table Waterfall),ChIJY8c1beyDFTIRJw-ckptpM3E,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Kilim Geoforest Park,ChIJSV9bFcd8TDAR1VNW4V90W-Q,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Pantai Kerachut Turtle Conservation and Information Centre,ChIJoXj6E8boSjARNvCi8Au3NQU,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,Sutra Foundation,ChIJX32NUP03zDER7wIfjxmcF6Y,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,"Petrosains, The Discovery Centre",ChIJiXsntdY3zDER0-B-9En1XOQ,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,PETRONAS Sepang International Circuit,ChIJ195KjTm_zTERV9pKFH4XvLg,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Sungai Lembing Mines,ChIJsfb-GqjDyDERLYamUERPs8Q,,
Conscientiousness,Adrenaline Activities,,Familiarity,Dive Redang @ Redang Pelangi Resort,ChIJCaKbOAkRtzERo7-9TuQ4zlY,,
Conscientiousness,Wild Nature Activities,,Familiarity,Borneo Rainforest Lodge,ChIJq-M9m2dXPjIR3aBPu9sJDD8,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,Sunset Cruise Langkawi,ChIJwWcotfJ_TDARFwYwy1htQr4,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,Clan Jetties of Penang,ChIJESJTC43DSjARiVDKy9hsY74,,
Conscientiousness,Sports & Games,,Familiarity,Malaysia Shooting Club,ChIJMbDwrJtNzDEReuW-5efM3Co,,
Conscientiousness,Natural Phenomena,,Familiarity,Lata Cermin Waterfall,ChIJq92pgN4ByzER89LKLozuy3U,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Royal Belum Outdoor & Adventure,ChIJF8Fo4guqtTERfXjU3gh4pWs,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Dark Cave Conservation Site,ChIJYSwMKw1HzDERHKK0Rjqn5Os,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,Encore Melaka,ChIJP6c2vJfx0TERbHba4l-B_3w,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,"The TOP Penang, Theme Park Penang",ChIJ-8pjzpXDSjARhqQbf7o4ang,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,MAZE Escape Room Subang Jaya,ChIJfZbypo9NzDERId1QZiUp3-s,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Sivan Temple - Gua Charas Panching Kuantan,ChIJZQ4pQuzAyDER5iv_ilvfAOY,,
Conscientiousness,Adrenaline Activities,,Familiarity,FJ ATV JANDA BAIK,ChIJ2VDLow89zDERd567Rh8r1ag,,
