Personality Traits,Tourism Category,Travel Motivation,Travelling Concerns,Location,Place ID,,
Conscientiousness,Wild Nature Activities,,Familiarity,Pusat Pemuliharaan Orang Utan Sepilok,ChIJFan1kObYODIR0znaNak80wE,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,Sunset Dinner Cruise,ChIJGSlXEzuGSzARpnNAh1MAIIY,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,Terengganu State Museum,ChIJ87fwbL6-tzERh7qMNrpZS7Y,,
Conscientiousness,Sports & Games,,Familiarity,Morac Adventure Park,ChIJWzoh_N-HSzARZVqKCFEok2M,,
Conscientiousness,Natural Phenomena,,Familiarity,Paddy Gallery,ChIJNelHQJuazDERxnf45-Lfdhk,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Kenong Eco Camp,ChIJV-4iTHl7yTER1Xkc7hZ8DVo,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Sungai Chiling Fish Sanctuary,ChIJS3Ye2WULzDERDvf_io-ItFQ,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,The Kuala Lumpur Performing Arts Centre (KLPAC),ChIJ5Y5MeRJIzDERWpu3eoo_h1Y,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,Melaka River Cruise Jeti Taman Rempah,ChIJtSbDV9fx0TERouZVMfwjLVU,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,VAR LIVE MY,ChIJlyZO6283zDERTidiNZOfMN8,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,"Gua Niah (Niah Caves) Entrance, Niah, Sarawak.",ChIJ0bV8rwbCHjIR05Jis5-1dt8,,
Conscientiousness,Adrenaline Activities,,Familiarity,Tasik Kenyir House Boat,ChIJX_PSOQDNtzER6BwH8b_iBq0,,
Conscientiousness,Wild Nature Activities,,Familiarity,Tanjung Datu National Park,ChIJzf_i8Mq1-jERDq2GS4Gdmfs,,
Conscientiousness,"Party, Music & Nightlife",,Familiarity,Astor Bar,ChIJS3JWTcFJzDERhaLZ9CM87Ww,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Familiarity,Kota Tinggi Firefly Park,ChIJaQHwMpxg2jERxv766lBVHf0,,
Conscientiousness,Sports & Games,,Familiarity,QQ Pro Snooker Training Centre,ChIJ52zEAsFv2jERog8Cnvf-rYU,,
Conscientiousness,Natural Phenomena,,Familiarity,Pantai Bukit Keluang,ChIJ_f0XPHTvtjERH9SCIsVt2ow,,
Conscientiousness,Adrenaline Activities,,Cultural & Learning Experiences,Genting Nature Adventures,ChIJe3R_svYVzDERAoRgRqg29S4,,
Conscientiousness,Wild Nature Activities,,Cultural & Learning Experiences,Sungai Dusun Wildlife Conservation Centre,ChIJF33lc_9_zDERs7NufBlSKQw,,
Conscientiousness,"Party, Music & Nightlife",,Cultural & Learning Experiences,Kwai Chai Hong,ChIJAY0UL3BJzDERgtnOxJhzC8k,,
Conscientiousness,"Museums, BoatTrips & Viewpoints",,Cultural & Learning Experiences,Borneo Cultural Museum,ChIJJQQqoDGn-zERTw2i1LGpqnk,,
Conscientiousness,Sports & Games,,Cultural & Learning Experiences,Boardgame Depot,ChIJZWdZbplJzDERPhtnRTfxsgU,,
Conscientiousness,Natural Phenomena,,Cultural & Learning Experiences,Langkawi Sky Bridge,ChIJw2-THMR2TDARwykmuG158jY,,
Agreeableness,Wild Nature Activities,,Previsibility & Safety,Putrajaya Wetlands Park,ChIJ56cztfG1zTER4_t69gGZALM,,
Agreeableness,"Party, Music & Nightlife",,Previsibility & Safety,Pisco Bar KL,ChIJNefEWSo2zDER0MKt6JERZ6A,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Previsibility & Safety,MELAKA RIVER CRUISE COUNTER TIKET,ChIJ-WPL3xbx0TERnvIHW7ZzXaI,,
Agreeableness,Theme & Animal Parks,,Previsibility & Safety,National Zoo of Malaysia,ChIJ4R-DCrY5zDERL3vbAscAyPI,,
Agreeableness,Cultural Heritage,,Previsibility & Safety,Sultan Abdul Samad Building,ChIJ_Y2Rm81JzDERKAawVfuGOd8,,
Agreeableness,Sports & Games,,Previsibility & Safety,Sultan Abdul Aziz Shah Golf & Country Club,ChIJoagkwI1NzDERh3Sw2a3Ybas,,
Agreeableness,Gastronomy Events,,Previsibility & Safety,Dewakan Restaurant,ChIJD5ydgbdNzDERVeakzTjfpk8,,
Agreeableness,Health & Well-being,,Previsibility & Safety,Luxe Beauty Retreat,ChIJ14uNfpFLzDERME8LGpyki5M,,
Agreeableness,Natural Phenomena,,Previsibility & Safety,Kuala Selangor Fireflies,ChIJv4Dtf9eKzDER7fLIGZU4Tb0,,
Agreeableness,Wild Nature Activities,,Uniqueness & Exoticness,Cameron Adventurous (Kuala Terla Tea Plantation),ChIJi8lunVpZyjER51L_2ucy3E4,,
Agreeableness,"Party, Music & Nightlife",,Uniqueness & Exoticness,Healy Mac's Irish Bar & Restaurant - Penang,ChIJZzvjkCPDSjARTfK85NRazFI,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Uniqueness & Exoticness,Upside Down House Melaka (Rumah Terbalik Melaka),ChIJec8sWubx0TERsxW6bl8L7g0,,
Agreeableness,Theme & Animal Parks,,Uniqueness & Exoticness,The Huskitory,ChIJ6fJuKGnw0TERvEpP2DjlU0E,,
Agreeableness,Cultural Heritage,,Uniqueness & Exoticness,Kellie's Castle,ChIJqXqBeF7vyjERuoLNbn1cvJM,,
Agreeableness,Sports & Games,,Uniqueness & Exoticness,Tanjung Minyak Petanque Club,ChIJaUEKuG370TERFOi22nnQ3lk,,
Agreeableness,Gastronomy Events,,Uniqueness & Exoticness,Sabah Tea Resort,ChIJc_4CJReROzIRKcvWuxkTkTU,, 
Agreeableness,Health & Well-being,,Uniqueness & Exoticness,Rimba Resort - Dive Centre & Spa,ChIJIfZ4MXzF2jERmqYJct3L4EI,,
Agreeableness,Natural Phenomena,,Uniqueness & Exoticness,Tasik Biru Bau,ChIJlbGd5KNz-zEReECBU6QB82E,,
Agreeableness,Wild Nature Activities,,Familiarity,Taman Negara Johor Tanjung Piai,ChIJPwYy4pmp0DERYKMsH1j5qZ4,,
Agreeableness,"Party, Music & Nightlife",,Familiarity,The Vault KL,ChIJHwi3VvtIzDERX5q7UKXK9Uw,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Familiarity,Baba & Nyonya Heritage Museum,ChIJfdXRW9zx0TER8SK9p2bE-kg,,
Agreeableness,Theme & Animal Parks,,Familiarity,Port Dickson Ornamental Fish Center,ChIJjQt6JBn3zTERZFDVBC09VpI,,
Agreeableness,Cultural Heritage,,Familiarity,Leong San Tong Khoo Kongsi,ChIJny-BJpLDSjARtmEDgFcyASw,,
Agreeableness,Sports & Games,,Familiarity,Cyberjaya Paintball Park,ChIJW_Lxfuu2zTERlizCbAw3I5g,,
Agreeableness,Gastronomy Events,,Familiarity,Jawi House Cafe Gallery,ChIJA0qphpHDSjARWgoT2acmVZI,,
Agreeableness,Health & Well-being,,Familiarity,Ozmosis Wellness Spa (Bangsar),ChIJj502pqJJzDERcSuiNDT3FKo,,
Agreeableness,Natural Phenomena,,Familiarity,Tuah Travel & Tours,ChIJ54fZMjHWyzERS-RjMzEogkQ,,
Agreeableness,Wild Nature Activities,,Previsibility & Safety,Hutan Lipur Bukit Pelindung,ChIJZ0AudTKlyDERMon_wCOkj24,,
Agreeableness,"Party, Music & Nightlife",,Previsibility & Safety,Mantra Rooftop Bar and Lounge,ChIJ4eLvE5hJzDERUnaWx1fxINw,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Previsibility & Safety,Pinang Peranakan Mansion,ChIJCWvz3I_DSjAR5hveCXjdfIs,,
Agreeableness,Theme & Animal Parks,,Previsibility & Safety,Farm In The City,ChIJyfiFd7O1zTER97yuR6os4aQ,,
Agreeableness,Cultural Heritage,,Previsibility & Safety,A Famosa,ChIJHWino-Dx0TERtWMOoXza5MI,,
Agreeableness,Sports & Games,,Previsibility & Safety,Perak Turf Club,ChIJEVXma1vsyjERhKmmvOyBDcA,,
Agreeableness,Gastronomy Events,,Previsibility & Safety,The Daily Fix Café,ChIJf7Vnb9zx0TERRWS4h6TIrpA,,
Agreeableness,Health & Well-being,,Previsibility & Safety,Cyberview Resort & Spa,ChIJVyjp68mKzTERmNb3PJ8YRn0,,
Agreeableness,Natural Phenomena,,Previsibility & Safety,Seven Wells Waterfall,ChIJ_6BX9dCHSzARjJbT_GzTo8k,,
Agreeableness,Wild Nature Activities,,Uniqueness & Exoticness,Tanjung Rhu Mangrove Tour,ChIJc8rO6X17TDAREuuiObRmwH4,,
Agreeableness,"Party, Music & Nightlife",,Uniqueness & Exoticness,Taps Beer Bar KL,ChIJN1Ri9io2zDER0CebPEzUAaM,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Uniqueness & Exoticness,Time Tunnel Museum,ChIJ9c4NvLZZyjERUwAtLYrmJGI,,
Agreeableness,Theme & Animal Parks,,Uniqueness & Exoticness,Desaru Fruit Farm,ChIJ56V0vytM2jER2eIkiC8T99w,,
Agreeableness,Cultural Heritage,,Uniqueness & Exoticness,Mah Meri Cultural Village,ChIJCTpP6USmzTERBwUVbiGiVaU,,
Agreeableness,Sports & Games,,Uniqueness & Exoticness,Pasir Gudang World Kite Festival,ChIJ2bHN45MV2jERCLW-hqeAFfg,,
Agreeableness,Gastronomy Events,,Uniqueness & Exoticness,The Gulai House,ChIJr2AdxxhxTDARjMEyyvn0Ooc,,
Agreeableness,Health & Well-being,,Uniqueness & Exoticness,Samadhi Spa,ChIJBXyhe8cZxTERial5MRmnZcI,,
Agreeableness,Natural Phenomena,,Uniqueness & Exoticness,"Silabur Cave, Tebakang, Serian (start/end hiking trail)",ChIJV2iY19Jl_DERecgM70OGwgI,,
Agreeableness,Wild Nature Activities,,Familiarity,Temenggor Lake,ChIJRTDAMsIAtTERqinlK1Ettfw,,
Agreeableness,"Party, Music & Nightlife",,Familiarity,Havana Bar & Grill KL,ChIJFVo9dio2zDER2DrObVUb5X0,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Familiarity,"Cheng Ho Cultural Museum, Malacca.",ChIJVVWFJdzx0TERMv7qo6qtDSQ,,
Agreeableness,Theme & Animal Parks,,Familiarity,Entopia by Penang Butterfly Farm,ChIJ83gcpVjoSjARH4vjVeRjzHg,,
Agreeableness,Cultural Heritage,,Familiarity,Victoria Bridge (Enggor Old Iron Railway Bridge),ChIJ66xDf46iyjERG-yVQtPN6pM,,
Agreeableness,Sports & Games,,Familiarity,Tiara Melaka Golf & Country Club,ChIJFxdV1bvl0TER8j4i470s9LU,,
Agreeableness,Gastronomy Events,,Familiarity,Village Park Restaurant,ChIJIfYLMzFJzDERPG9vHZ7DqiE,,
Agreeableness,Health & Well-being,,Familiarity,Tadom Hill Resorts,ChIJaYlITkW5zTERNzSgnDJfpEM,,
Agreeableness,Natural Phenomena,,Familiarity,SURVIVOR ISLAND Pulau Tiga,ChIJbydPOc9UIzIRCybkiovPimQ,,
Agreeableness,Wild Nature Activities,,Previsibility & Safety,Jeram Toi Jungle Eco Park,ChIJN9dSGuzZzTERisT0BuHYDXc,,
Agreeableness,"Party, Music & Nightlife",,Previsibility & Safety,The Iron Fairies KL,ChIJyw9PkDM2zDERGDNpLdh5VMU,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Previsibility & Safety,Borneo Cultures Museum,ChIJJQQqoDGn-zERTw2i1LGpqnk,,
Agreeableness,Theme & Animal Parks,,Previsibility & Safety,i-City Theme Park,ChIJ1ZQnouRSzDERpgZbrTmUvDk,,
Agreeableness,Cultural Heritage,,Previsibility & Safety,Seri Perdana Bridge,ChIJMzEi4RO2zTERndqHFncbrOI,,
Agreeableness,Sports & Games,,Previsibility & Safety,The Mines Resort & Golf Club,ChIJDeafOlI1zDERi4JkX806OOE,,
Agreeableness,Gastronomy Events,,Previsibility & Safety,Aunty Gaik Lean’s Old School Eatery,ChIJfZkTH4_DSjARqJ12xbnOYv4,,
Agreeableness,Health & Well-being,,Previsibility & Safety,AvaniSpa by Avani Sepang Goldcoast Resort,ChIJJbsrKKOTzTERm_N3b0hrdHs,,
Agreeableness,Natural Phenomena,,Previsibility & Safety,Sungai Klah Hot Spring Park,ChIJZ4-lbwO9yjERsf1ZQeYTZ8s,,
Agreeableness,Wild Nature Activities,,Uniqueness & Exoticness,Laguna redang Hiking Trail,ChIJrb6JKhsRtzERWhuXwsa5PrE,,
Agreeableness,"Party, Music & Nightlife",,Uniqueness & Exoticness,Helipad Kuala Lumpur,ChIJXTlxKys2zDERpbkAcBpAmLE,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Uniqueness & Exoticness,Kampung Budaya Sarawak,ChIJWS6-eJz_-jERUyRZ7Zr1P4s,,
Agreeableness,Theme & Animal Parks,,Uniqueness & Exoticness,Turtle Islands Park - Malaysia,ChIJm5kB7aH7ODIROwdFW_jgQ5A,,
Agreeableness,Cultural Heritage,,Uniqueness & Exoticness,Army Museum Port Dickson,ChIJ8wJvB47wzTERs9_UMUNoXBU,,
Agreeableness,Sports & Games,,Uniqueness & Exoticness,SOON COASTAL FISHING,ChIJ40RSdKBXRysRFuB6eYCn_M0,,
Agreeableness,Gastronomy Events,,Uniqueness & Exoticness,Nasi Dagang Atas Tol - Kg Atas Tol,ChIJ4_x5JYG_tzER8vDSglK6zCk,,
Agreeableness,Health & Well-being,,Uniqueness & Exoticness,Mulu Marriott Resort & Spa,ChIJXY6XbdP9GDIROLqM8A20OuQ,,
Agreeableness,Natural Phenomena,,Uniqueness & Exoticness,Turtle Islands Park,ChIJnTECDEX6ODIRfYg7BU7ZQSs,,
Agreeableness,Wild Nature Activities,,Familiarity,"Taman Alam Liar Negeri, Kenaboi",ChIJ3Y2-DA0pzDERyHuVHAWM7Yc,,
Agreeableness,"Party, Music & Nightlife",,Familiarity,Backyard Pub & Grill,ChIJ9ZG9S_tIzDERfc66LIu0Ik0,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Familiarity,Kuala Sepetang Eco Tourism,ChIJceUdPA2uyjERHaNvGr0kVMk,,
Agreeableness,Theme & Animal Parks,,Familiarity,The Bentong Farm Malaysia,ChIJFQi06hgPzDERcr8uGzf5pDA,,
Agreeableness,Cultural Heritage,,Familiarity,Fort Cornwallis,ChIJSYg_noXDSjAR3mSegGnJxdQ,,
Agreeableness,Sports & Games,,Familiarity,Ampang Superbowl @Berjaya Times Square,ChIJo9SSkCg2zDERyzP1k6cHM10,,
Agreeableness,Gastronomy Events,,Familiarity,Restaurant Ferringhi Garden,ChIJ8zCWDwnoSjARpjKaGF6wVoQ,,
Agreeableness,Health & Well-being,,Familiarity,AmanRimba Private Estate,ChIJbxhFO2s9zDERx5tF2YVhgUI,,
Agreeableness,Natural Phenomena,,Familiarity,Bukit Keluang Secret Beach,ChIJqwO7ayjvtjERrB4lSz39PDQ,,
Agreeableness,Wild Nature Activities,,Previsibility & Safety,Hutan Lipur Gunung Angsi,ChIJHeCjdtHfzTERqa-E1HsCs54,,
Agreeableness,"Party, Music & Nightlife",,Previsibility & Safety,Hard Rock Cafe Kuala Lumpur,ChIJnZQmESpIzDERLTWZWg5o61s,,
Agreeableness,"Museums, BoatTrips & Viewpoints",,Previsibility & Safety,Taming Sari Tower (Malacca Tower),ChIJOXdXEefx0TERIBvPIoH5sX8,,
Agreeableness,Theme & Animal Parks,,Previsibility & Safety,G2G Animal Garden,ChIJSc-CwJS1zTER0jx4OpVCbPE,,
Agreeableness,Cultural Heritage,,Previsibility & Safety,"Church of Saint Paul, Malacca",ChIJq2aiA97x0TER350dNHgCAnk,,
Agreeableness,Sports & Games,,Previsibility & Safety,Ice Dynasty Ice Skating Rink,ChIJ_zRNSilPzDERzBPIy76LUQI,,
Agreeableness,Gastronomy Events,,Previsibility & Safety,Lai Po Heen,ChIJm9LRBNQ3zDER_s7D8lhb6Ds,,
Agreeableness,Health & Well-being,,Previsibility & Safety,Lax. Retreat,ChIJZ28fnxM3zDERerKsTLR41I0,,
Agreeableness,Natural Phenomena,,Previsibility & Safety,Gua Kelam 2,ChIJRW56mdnrTDARDPC92TY7K5s,,
Neuroticism,"Party, Music & Nightlife",Self-development & Reliance,Cultural & Learning Experiences,Hikers Cafe House,ChIJjz4hvTQ1zDER_SkUJLzTAcs,,
Neuroticism,Theme & Animal Parks,Self-development & Reliance,Cultural & Learning Experiences,ArtScience Museum,ChIJnWdQKQQZ2jERScXuKeFHyIE,,
Neuroticism,Health & Well-being,Self-development & Reliance,Cultural & Learning Experiences,The Reef Hotel & Studios,ChIJq6qq6ssETDARsZ0yvzVxSqg,,
Neuroticism,"Party, Music & Nightlife",Connectedness & Recognition,Cultural & Learning Experiences,DBKL City Theatre,ChIJw9PsXc1JzDERR65ztHs4-o4,,
Neuroticism,Theme & Animal Parks,Connectedness & Recognition,Cultural & Learning Experiences,KL Forest Eco Park,ChIJkVJY7ipIzDEROZL711tzxPs,,
Neuroticism,Health & Well-being,Connectedness & Recognition,Cultural & Learning Experiences,Sukau Rainforest Lodge,ChIJuZAWq1lpOzIRneaBzWIjZpE,,
Neuroticism,"Party, Music & Nightlife",Novelty & Excitement,Cultural & Learning Experiences,32Mansion / Beach Blanket Babylon,ChIJEaaTe5nDSjARJOFpM22hJnM,,
Neuroticism,Theme & Animal Parks,Novelty & Excitement,Cultural & Learning Experiences,KidZania Kuala Lumpur,ChIJebTp9RxPzDERzQPNcVUbckY,,
Neuroticism,Health & Well-being,Novelty & Excitement,Cultural & Learning Experiences,Nanga Sumpa Lodge,ChIJ3Q-fOwXO-DERCJwIshbaeDI,,
Neuroticism,"Party, Music & Nightlife",Self-development & Reliance,Familiarity,Hard Rock Cafe Melaka,ChIJrzc7Jtzx0TERngkZpouZTYI,,
Neuroticism,Theme & Animal Parks,Self-development & Reliance,Familiarity,Sunway Lost World Theme Park : Hot Springs & Night Park,ChIJBW8z7TzsyjERwLEtNGskVvE,,
Neuroticism,Health & Well-being,Self-development & Reliance,Familiarity,"Philea Resort & Spa, Melaka, Malaysia",ChIJIwuzslrk0TER-EQ3PQVgx10,,
Neuroticism,"Party, Music & Nightlife",Connectedness & Recognition,Familiarity,Bobo KL,ChIJzwvhZ6RJzDER6_TVozNapwA,,
Neuroticism,Theme & Animal Parks,Connectedness & Recognition,Familiarity,theMINs @ Kota Damansara,ChIJrR2QPRJPzDERQU0ZV_TZzwg,,
Neuroticism,Health & Well-being,Connectedness & Recognition,Familiarity,Golden Palm Tree Sea Villas & Spa,ChIJK21Y5t6SzTERwymnoldSdik,,
Neuroticism,"Party, Music & Nightlife",Novelty & Excitement,Familiarity,Le Noir @ MBS,ChIJN_ApgQsZ2jERt0GKXxIitmE,,
Neuroticism,Theme & Animal Parks,Novelty & Excitement,Familiarity,LEGOLAND Malaysia,ChIJM-12PIwL2jERSzVEGdIIW4E,,
Neuroticism,Health & Well-being,Novelty & Excitement,Familiarity,Japamala Resort,ChIJ1TSqb64ZxTERkm6IYAbz2Bg,,
Neuroticism,"Party, Music & Nightlife",Self-development & Reliance,Cultural & Learning Experiences,The Bee @ Publika,ChIJXesc-l1IzDERGIrwiOMTh5A,,
Neuroticism,Theme & Animal Parks,Self-development & Reliance,Cultural & Learning Experiences,Batu Secret Zoo,ChIJ098_XaqBeC4RhBRogOt_5UU,,
Neuroticism,Health & Well-being,Self-development & Reliance,Cultural & Learning Experiences,Tanjung Lesung Beach Hotel,ChIJM9ArZ2fJQy4RSCiv-EOfzq8,,
Neuroticism,"Party, Music & Nightlife",Connectedness & Recognition,Cultural & Learning Experiences,Zepp Kuala Lumpur,ChIJEZ7CcZ43zDERktm7HMJZXPI,,
Neuroticism,Theme & Animal Parks,Connectedness & Recognition,Cultural & Learning Experiences,Taman Agroteknologi MARDI Langkawi,ChIJqUrCa0l_TDARKn__sDL4b1Y,,
Neuroticism,Health & Well-being,Connectedness & Recognition,Cultural & Learning Experiences,"The Spa at Shangri-La Rasa Ria, Kota Kinabalu",ChIJ0-jOI5kROzIRORMLV1mm7wo,,
Neuroticism,"Party, Music & Nightlife",Novelty & Excitement,Cultural & Learning Experiences,The Row KL,ChIJkQSK6C5IzDERmRRICBbi5zA,,
Neuroticism,Theme & Animal Parks,Novelty & Excitement,Cultural & Learning Experiences,Kuala Lumpur Butterfly Park,ChIJ8wfIRclJzDERbd5b45ki4WM,,
Neuroticism,Health & Well-being,Novelty & Excitement,Cultural & Learning Experiences,Permai Rainforest Resort,ChIJG_fFSXen-zERCYFIuy-YBSo,,
Neuroticism,"Party, Music & Nightlife",Self-development & Reliance,Familiarity,CEO Karaoke Box,ChIJYzhGDyw2zDER5mjbifARrMM,,
Neuroticism,Theme & Animal Parks,Self-development & Reliance,Familiarity,Taman Botani Putrajaya,ChIJXW0EGBi2zTERcH3wN1NChlY,,
Neuroticism,Health & Well-being,Self-development & Reliance,Familiarity,V Wellness,ChIJi3hIfo1JzDERFXc9BJBrYqE,,
Neuroticism,"Party, Music & Nightlife",Connectedness & Recognition,Familiarity,Cloud 9,ChIJPzCRMwEUzDERS0xgmiiWLxw,,
Neuroticism,Theme & Animal Parks,Connectedness & Recognition,Familiarity,Just Farm @ Just Pets Megastore (Kota Damansara),ChIJr5AqerJPzDERZR0kfGP-MR4,,
Neuroticism,Health & Well-being,Connectedness & Recognition,Familiarity,Sunway Resort Hotel,ChIJyxgKLIFMzDERRATBbpBivJY,,
Neuroticism,"Party, Music & Nightlife",Novelty & Excitement,Familiarity,Junk Cafe,ChIJX7jQ85DDSjARvWnQm18Nw6I,,
Neuroticism,Theme & Animal Parks,Novelty & Excitement,Familiarity,LEGOLAND Waterpark Malaysia,ChIJoUtF3YsL2jERG_6MZMmKYl0,,
Neuroticism,Health & Well-being,Novelty & Excitement,Familiarity,The Shorea,ChIJRY-2MsrezTERyzgZckutE_M,,
Neuroticism,"Party, Music & Nightlife",Self-development & Reliance,Cultural & Learning Experiences,The Social - Publika,ChIJ-YjZE15IzDERDsatf6L8gvU,,
Neuroticism,Theme & Animal Parks,Self-development & Reliance,Cultural & Learning Experiences,SEA LIFE - Malaysia,ChIJrZXUo1oL2jERaTOXrgKNxkE,,
Neuroticism,Health & Well-being,Self-development & Reliance,Cultural & Learning Experiences,Pangkor Laut Resort,ChIJXT3kkTbSNDARz1eQzbp0BiQ,,
Neuroticism,"Party, Music & Nightlife",Connectedness & Recognition,Cultural & Learning Experiences,Merdekarya,ChIJLY9Su7NLzDERF4RiM1MR8XE,,
Neuroticism,Theme & Animal Parks,Connectedness & Recognition,Cultural & Learning Experiences,Malaysia Heritage Studios,ChIJQX8JdKnl0TERrH-_MJ4dnNI,,
Neuroticism,Health & Well-being,Connectedness & Recognition,Cultural & Learning Experiences,Berjaya Tioman Resort - Malaysia,ChIJl3VvygEbxTERrs39UXxrtYI,,
